"skill_id","skills","demand_count","avg_salary"
253,"zoom","39","139029"
233,"jira","63","125055"
75,"databricks","31","122529"
3,"go","47","121844"
27,"c","19","119331"
191,"sap","19","117037"
106,"hadoop","25","113690"
234,"confluence","13","111370"
215,"git","20","109100"
12,"java","27","108515"
104,"airflow","20","107525"
92,"spark","23","106511"
76,"oracle","62","105392"
204,"dax","15","104273"
189,"ssis","19","103134"
6,"javascript","28","102581"
183,"tableau","505","102172"
73,"snowflake","83","100577"
16,"t-sql","18","100430"
56,"sql server","58","99169"
13,"c++","15","99106"
0,"sql","783","98748"
1,"python","494","98074"
190,"ssrs","24","97579"
2,"r","289","97421"
